direction,meilleur_score,marge,palier
DMM,0.5725314617156982,0.03494614362716675,0.45-0.65 (top 3)
DMM,0.26433050632476807,0.054571062326431274,<0.45 (article entier)
DMM,0.2685258686542511,0.010618746280670166,<0.45 (article entier)
DMM,0.2687758505344391,0.06426340341567993,<0.45 (article entier)
DMM,0.36521804332733154,0.01184701919555664,<0.45 (article entier)
DMM,0.5160528421401978,0.055756837129592896,0.45-0.65 (top 3)
DMM,0.2606443762779236,0.007136166095733643,<0.45 (article entier)
DMM,0.37159278988838196,0.004354298114776611,<0.45 (article entier)
DMM,0.37024223804473877,0.09065446257591248,<0.45 (article entier)
DMM,0.3859482705593109,0.07660797238349915,<0.45 (article entier)
DMM,0.507953405380249,0.0016770362854003906,0.45-0.65 (top 3)
DMM,0.34845641255378723,0.013064563274383545,<0.45 (article entier)
DMM,0.22775690257549286,0.0054956525564193726,<0.45 (article entier)
DMM,0.3658373951911926,0.01976865530014038,<0.45 (article entier)
DMM,0.45528391003608704,0.009874552488327026,0.45-0.65 (top 3)
DMM,0.3796028792858124,0.022787630558013916,<0.45 (article entier)
DSPCT,0.5490843653678894,0.044838666915893555,0.45-0.65 (top 3)
DSPCT,0.804277241230011,0.5449043810367584,>0.75 (tiret exact)
DSPCT,0.5039538145065308,0.0036985278129577637,0.45-0.65 (top 3)
DSPCT,0.6373549699783325,0.1341351866722107,0.45-0.65 (top 3)
DSPCT,0.5561326146125793,0.054806411266326904,0.45-0.65 (top 3)
DSPCT,0.8016536235809326,0.5047042071819305,>0.75 (tiret exact)
DSPCT,0.5193907022476196,0.02523943781852722,0.45-0.65 (top 3)
DSPCT,0.6369848251342773,0.12483322620391846,0.45-0.65 (top 3)
DSPCT,0.5386171340942383,0.03548550605773926,0.45-0.65 (top 3)
DSPCT,0.8289498686790466,0.4537571668624878,>0.75 (tiret exact)
DSPCT,0.5309894680976868,0.010728061199188232,0.45-0.65 (top 3)
DSPCT,0.6332376003265381,0.13540002703666687,0.45-0.65 (top 3)
DSPCT,0.5029743313789368,0.03261825442314148,0.45-0.65 (top 3)
DSPCT,0.5811352729797363,0.02874171733856201,0.45-0.65 (top 3)
DSPCT,0.6605842113494873,0.14092028141021729,0.65-0.75 (zone grise)
DSPCT,0.5446516871452332,0.04456925392150879,0.45-0.65 (top 3)
DSPCT,0.8292964100837708,0.4374907910823822,>0.75 (tiret exact)
DSPCT,0.5826306939125061,0.040759384632110596,0.45-0.65 (top 3)
DSPCT,0.6630312204360962,0.1274396777153015,0.65-0.75 (zone grise)
DSPCT,0.6252119541168213,0.1662420630455017,0.45-0.65 (top 3)
DSPCT,0.5805550217628479,0.0296289324760437,0.45-0.65 (top 3)
DSPCT,0.6527958512306213,0.11948752403259277,0.65-0.75 (zone grise)
DSPCT,0.5564190745353699,0.04161500930786133,0.45-0.65 (top 3)
DSPCT,0.8139116168022156,0.5205301642417908,>0.75 (tiret exact)
DSPCT,0.5217598080635071,0.00692981481552124,0.45-0.65 (top 3)
DSPCT,0.6326801776885986,0.13218587636947632,0.45-0.65 (top 3)
DSPCT,0.2720887362957001,0.06659136712551117,<0.45 (article entier)
DSPCT,0.08880584686994553,0.03165639936923981,<0.45 (article entier)
DSPCT,0.18846546113491058,0.01386059820652008,<0.45 (article entier)
DSPCT,0.21962018311023712,0.047727540135383606,<0.45 (article entier)
DSPCT,0.34549063444137573,0.02873826026916504,<0.45 (article entier)
DSPCT,0.16674257814884186,0.00016348063945770264,<0.45 (article entier)
DSPCT,0.17277903854846954,0.0334351509809494,<0.45 (article entier)
